,scientific_name,red_list_category,assessment_date,population_trend,systems,region,habitat,phylum_name,class_name,country_state,animal_name,latitude,longitude
8392,Boophis miadana,Endangered,2014,Decreasing,Terrestial & Freshwater ,Afrotropical,Global,Vertebrates,Amphibians,,,,
8393,Boophis narinsi,Endangered,2014,Decreasing,Terrestial & Freshwater ,Afrotropical,Global,Vertebrates,Amphibians,,,,
8394,Boophis obscurus,Near Threatened,2014,Decreasing,Terrestial & Freshwater ,Afrotropical,Global,Vertebrates,Amphibians,,,,
8395,Boophis piperatus,Endangered,2014,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Amphibians,,,,
8396,Boophis popi,Vulnerable,2014,Decreasing,Terrestial & Freshwater ,Afrotropical,Global,Vertebrates,Amphibians,,,,
8397,Boophis quasiboehmei,Near Threatened,2014,Decreasing,Terrestial & Freshwater ,Afrotropical,Global,Vertebrates,Amphibians,,,,
8398,Boophis sandrae,Endangered,2014,Decreasing,Terrestial & Freshwater ,Afrotropical,Global,Vertebrates,Amphibians,,,,
8399,Boophis spinophis,Vulnerable,2014,Decreasing,Terrestial & Freshwater ,Afrotropical,Global,Vertebrates,Amphibians,,,,
8400,Boophis tsilomaro,Critically Endangered,2014,Decreasing,Terrestial & Freshwater ,Afrotropical,Global,Vertebrates,Amphibians,,,,
8401,Boophis ulftunni,Vulnerable,2015,Decreasing,Terrestial & Freshwater ,Afrotropical,Global,Vertebrates,Amphibians,,,,
8402,Gephyromantis atsingy,Endangered,2015,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Amphibians,,,,
8403,Gephyromantis azzurrae,Endangered,2015,Decreasing,Terrestial & Freshwater ,Afrotropical,Global,Vertebrates,Amphibians,,,,
8404,Gephyromantis hintelmannae,Endangered,2015,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Amphibians,,,,
8405,Gephyromantis mafy,Critically Endangered,2015,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Amphibians,,,,
8406,Gephyromantis ranjomavo,Endangered,2015,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Amphibians,,,,
8407,Gephyromantis runewsweeki,Vulnerable,2015,Unknown,Terrestrial,Afrotropical,Global,Vertebrates,Amphibians,,,,
8408,Guibemantis annulatus,Endangered,2015,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Amphibians,,,,
8409,Guibemantis wattersoni,Endangered,2015,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Amphibians,,,,
8410,Mantidactylus paidroa,Endangered,2015,Decreasing,Terrestial & Freshwater ,Afrotropical,Global,Vertebrates,Amphibians,,,,
8411,Cophyla rava,Endangered,2015,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Amphibians,,,,
8412,Plethodontohyla fonetana,Endangered,2015,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Amphibians,,,,
8413,Plethodontohyla guentheri,Endangered,2015,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Amphibians,,,,
8414,Rhombophryne mangabensis,Vulnerable,2015,Stable,Terrestial & Freshwater ,Afrotropical,Global,Vertebrates,Amphibians,,,,
8415,Spinomantis nussbaumi,Critically Endangered,2016,Decreasing,Terrestial & Freshwater ,Afrotropical,Global,Vertebrates,Amphibians,,,,
8416,Stumpffia hara,Critically Endangered,2015,Decreasing,Terrestial & Freshwater ,Afrotropical,Global,Vertebrates,Amphibians,,,,
8417,Physella johnsoni,Critically Endangered,2015,Stable,Freshwater,Nearctic,Global,Mollusks,Snails & slugs,,,,
8418,Tropidurus hygomi,Vulnerable,2014,Decreasing,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8419,Tropidurus xanthochilus,Vulnerable,2014,Stable,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8420,Holcosus orcesi,Critically Endangered,2016,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8421,Callopistes flavipunctatus,Near Threatened,2014,Decreasing,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8422,Ameiva provitaae,Endangered,2014,Decreasing,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8423,Cnemidophorus flavissimus,Near Threatened,2014,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8424,Cnemidophorus rostralis,Near Threatened,2014,Stable,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8425,Macaca sylvanus,Endangered,2016,Decreasing,Terrestrial,Palearctic,Global & Mediterranean,Vertebrates,Mammals,,,,
8426,Laevicaulis haroldi,Endangered,2000,Unknown,Terrestrial,Afrotropical,Global,Mollusks,Snails & slugs,,,,
8427,Ammodorcas clarkei,Vulnerable,2016,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Mammals,"Somalia, Ethiopia","Gazelle, Clark's",,
8428,Cephalophus adersi,Vulnerable,2016,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Mammals,,,,
8429,Cephalophus jentinki,Endangered,2016,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Mammals,"Sierra Leone, Liberia, Ivory Coast","Duiker, Jentink's",,
8430,Cephalophus leucogaster,Near Threatened,2016,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Mammals,,,,
8431,Cephalophus silvicultor,Near Threatened,2016,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Mammals,,,,
8432,Cephalophus spadix,Endangered,2016,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Mammals,,,,
8433,Cephalophus zebra,Vulnerable,2016,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Mammals,LR,,6.428055,-9.429499
8434,Beatragus hunteri,Critically Endangered,2016,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Mammals,,,,
8435,Dorcatragus megalotis,Vulnerable,2016,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Mammals,,,,
8436,Gazella cuvieri,Vulnerable,2016,Decreasing,Terrestrial,Palearctic,Global & Mediterranean,Vertebrates,Mammals,ES,"Gazelle, mountain (=Cuvier's)",40.463667,-3.74922
8437,Gazella gazella,Endangered,2016,Decreasing,Terrestrial,Palearctic,Global,Vertebrates,Mammals,"Arabian Peninsula, Palestine, Sinai","Gazelle, Arabian",,
8438,Eudorcas rufifrons,Vulnerable,2016,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Mammals,,,,
8439,Gazella spekei,Endangered,2016,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Mammals,,,,
