,scientific_name,red_list_category,year_published,assessment_date,population_trend,systems,region,habitat,phylum_name,class_name
57,Mustela lutreola,Critically Endangered,2010,2008-01-01 00:00:00 UTC,Decreasing,Terrestial & Freshwater ,Palearctic,Mediterranean,Vertebrates,Mammals
58,Mustela lutreola,Critically Endangered,2010,2008-01-01 00:00:00 UTC,Decreasing,Terrestial & Freshwater ,Palearctic,Mediterranean,Vertebrates,Mammals
59,Mustela lutreola,Critically Endangered,2016,2015-03-03 00:00:00 UTC,Decreasing,Terrestial & Freshwater ,Palearctic,Global,Vertebrates,Mammals
60,Mustela lutreola,Critically Endangered,2016,2015-03-03 00:00:00 UTC,Decreasing,Terrestial & Freshwater ,Palearctic,Global,Vertebrates,Mammals
61,Mustela lutreola,Critically Endangered,2016,2015-03-03 00:00:00 UTC,Decreasing,Terrestial & Freshwater ,Palearctic,Global,Vertebrates,Mammals
62,Neochanna burrowsius,Critically Endangered,2014,2014-07-15 00:00:00 UTC,Decreasing,Freshwater,Australasian,Global,Vertebrates,Ray-finned fishes
63,Neochanna diversus,Endangered,2014,2014-07-15 00:00:00 UTC,Decreasing,Freshwater,Australasian,Global,Vertebrates,Ray-finned fishes
64,Neochanna apoda,Endangered,2014,2014-07-24 00:00:00 UTC,Decreasing,Freshwater,Australasian,Global,Vertebrates,Ray-finned fishes
65,Nilssonia formosa,Critically Endangered,2021,2018-03-14 00:00:00 UTC,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles
66,Notochelys platynota,Vulnerable,2021,2018-03-13 00:00:00 UTC,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles
67,Notropis aguirrepequenoi,Vulnerable,2019,2018-08-31 00:00:00 UTC,Unknown,Freshwater,Nearctic,Global,Vertebrates,Ray-finned fishes
68,Notropis amecae,Extinct in the Wild,2019,2018-12-05 00:00:00 UTC,Unknown,Freshwater,Neotropical,Global,Vertebrates,Ray-finned fishes
69,Obovaria jacksoniana,Vulnerable,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs
70,Mauremys sinensis,Critically Endangered,2021,2018-03-15 00:00:00 UTC,Decreasing,Terrestial & Freshwater ,Indomalayan|Palearctic,Global,Vertebrates,Reptiles
71,Ogmodon vitianus,Endangered,2013,2011-09-14 00:00:00 UTC,Decreasing,Terrestrial,Oceanian,Global,Vertebrates,Reptiles
72,Ophisternon infernale,Endangered,2019,2018-10-05 00:00:00 UTC,Unknown,Freshwater,Neotropical,Global,Vertebrates,Ray-finned fishes
73,Sciades parkeri,Vulnerable,2015,2011-08-17 00:00:00 UTC,Decreasing,Freshwater & Marine,Neotropical,Global,Vertebrates,Ray-finned fishes
74,Orlitia borneensis,Critically Endangered,2020,2018-07-01 00:00:00 UTC,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles
75,Sphaerium solidum,Near Threatened,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater,Palearctic,Global,Mollusks,Molluscs
76,Sphaerium solidum,Near Threatened,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater,Palearctic,Global,Mollusks,Molluscs
