,scientific_name,red_list_category,year_published,assessment_date,population_trend,systems,region,habitat,phylum_name,class_name
116,Mauremys sinensis,Critically Endangered,2021,2018-03-15 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Indomalayan|Palearctic,Global,CHORDATA,REPTILIA
117,Ogmodon vitianus,Endangered,2013,2011-09-14 00:00:00 UTC,Decreasing,Terrestrial,Oceanian,Global,CHORDATA,REPTILIA
118,Ophisternon infernale,Endangered,2019,2018-10-05 00:00:00 UTC,Unknown,Freshwater (=Inland waters),Neotropical,Global,CHORDATA,ACTINOPTERYGII
119,Sciades parkeri,Vulnerable,2015,2011-08-17 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)|Marine,Neotropical,Global,CHORDATA,ACTINOPTERYGII
120,Orlitia borneensis,Critically Endangered,2020,2018-07-01 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Indomalayan,Global,CHORDATA,REPTILIA
124,Sphaerium solidum,Near Threatened,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Palearctic,Global,MOLLUSCA,BIVALVIA
125,Sphaerium solidum,Near Threatened,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Palearctic,Global,MOLLUSCA,BIVALVIA
126,Sphaerium solidum,Near Threatened,2011,2010-01-28 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Palearctic,Europe,MOLLUSCA,BIVALVIA
127,Sphaerium solidum,Near Threatened,2011,2010-01-28 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Palearctic,Europe,MOLLUSCA,BIVALVIA
128,Euryoryzomys lamia,Vulnerable,2018,2017-02-28 00:00:00 UTC,Decreasing,Terrestrial,Neotropical,Global,CHORDATA,MAMMALIA
129,Tarraconia rolani,Endangered,2012,2007-11-01 00:00:00 UTC,Unknown,Freshwater (=Inland waters),Palearctic,"Global, Europe & Mediterranean",MOLLUSCA,GASTROPODA
130,Theba macandrewiana,Near Threatened,2017,2016-12-06 00:00:00 UTC,Stable,Terrestrial,Palearctic,Global & Europe,MOLLUSCA,GASTROPODA
131,Vipera renardi,Near Threatened,2021,2016-04-05 00:00:00 UTC,Decreasing,Terrestrial,Palearctic,Global,CHORDATA,REPTILIA
132,Vipera renardi,Near Threatened,2021,2016-04-05 00:00:00 UTC,Decreasing,Terrestrial,Palearctic,Global,CHORDATA,REPTILIA
133,Vipera renardi,Vulnerable,2009,2009-03-27 00:00:00 UTC,Decreasing,Terrestrial,Palearctic,Europe,CHORDATA,REPTILIA
134,Vipera renardi,Vulnerable,2009,2009-03-27 00:00:00 UTC,Decreasing,Terrestrial,Palearctic,Europe,CHORDATA,REPTILIA
135,Palaemonetes antrorum,Endangered,2013,2012-07-09 00:00:00 UTC,Unknown,Freshwater (=Inland waters),Nearctic,Global,ARTHROPODA,MALACOSTRACA
136,Palaemonetes cummingi,Critically Endangered,2013,2012-07-10 00:00:00 UTC,Unknown,Freshwater (=Inland waters),Nearctic,Global,ARTHROPODA,MALACOSTRACA
